Time,Voltage
-1.3840000200E-07,0.0080000060
-1.3800000200E-07,0.0000000060
-1.3760000200E-07,0.0080000060
-1.3720000200E-07,0.0080000060
-1.3680000200E-07,0.0080000060
-1.3640000200E-07,0.0000000060
-1.3600000200E-07,0.0000000060
-1.3560000200E-07,0.0000000060
-1.3520000200E-07,0.0080000060
-1.3480000200E-07,0.0080000060
-1.3440000200E-07,0.0000000060
-1.3400000200E-07,0.0080000060
-1.3360000200E-07,0.0000000060
-1.3320000200E-07,0.0080000060
-1.3280000200E-07,0.0080000060
-1.3240000200E-07,0.0080000060
-1.3200000200E-07,0.0080000060
-1.3160000200E-07,0.0080000060
-1.3120000200E-07,0.0000000060
-1.3080000200E-07,0.0080000060
-1.3040000200E-07,0.0000000060
-1.3000000200E-07,0.0000000060
-1.2960000200E-07,0.0080000060
-1.2920000200E-07,0.0000000060
-1.2880000200E-07,0.0080000060
-1.2840000200E-07,0.0080000060
-1.2800000200E-07,0.0080000060
-1.2760000200E-07,0.0000000060
-1.2720000200E-07,0.0000000060
-1.2680000200E-07,0.0000000060
-1.2640000200E-07,0.0080000060
-1.2600000200E-07,0.0080000060
-1.2560000200E-07,0.0080000060
-1.2520000200E-07,0.0080000060
-1.2480000200E-07,0.0000000060
-1.2440000200E-07,0.0080000060
-1.2400000200E-07,0.0080000060
-1.2360000200E-07,0.0000000060
-1.2320000200E-07,0.0000000060
-1.2280000200E-07,0.0000000060
-1.2240000200E-07,0.0000000060
-1.2200000200E-07,0.0000000060
-1.2160000200E-07,0.0000000060
-1.2120000200E-07,0.0080000060
-1.2080000200E-07,0.0080000060
-1.2040000200E-07,0.0000000060
-1.2000000200E-07,0.0000000060
-1.1960000200E-07,0.0160000100
-1.1920000200E-07,0.0080000060
-1.1880000200E-07,0.0080000060
-1.1840000200E-07,0.0000000060
-1.1800000200E-07,0.0080000060
-1.1760000200E-07,0.0000000060
-1.1720000200E-07,0.0080000060
-1.1680000200E-07,0.0080000060
-1.1640000200E-07,0.0080000060
-1.1600000200E-07,0.0000000060
-1.1560000200E-07,0.0080000060
-1.1520000200E-07,0.0080000060
-1.1480000200E-07,0.0080000060
-1.1440000200E-07,0.0080000060
-1.1400000200E-07,0.0080000060
-1.1360000200E-07,0.0080000060
-1.1320000200E-07,0.0080000060
-1.1280000200E-07,0.0000000060
-1.1240000200E-07,0.0000000060
-1.1200000100E-07,0.0080000060
-1.1160000100E-07,0.0080000060
-1.1120000100E-07,0.0080000060
-1.1080000100E-07,0.0000000060
-1.1040000100E-07,0.0000000060
-1.1000000100E-07,0.0080000060
-1.0960000100E-07,0.0080000060
-1.0920000100E-07,0.0000000060
-1.0880000100E-07,0.0000000060
-1.0840000100E-07,0.0080000060
-1.0800000100E-07,0.0080000060
-1.0760000100E-07,0.0080000060
-1.0720000100E-07,0.0000000060
-1.0680000100E-07,0.0080000060
-1.0640000100E-07,0.0000000060
-1.0600000100E-07,0.0000000060
-1.0560000100E-07,0.0000000060
-1.0520000100E-07,0.0160000100
-1.0480000100E-07,0.0080000060
-1.0440000100E-07,0.0000000060
-1.0400000100E-07,0.0080000060
-1.0360000100E-07,0.0000000060
-1.0320000100E-07,0.0080000060
-1.0280000100E-07,0.0000000060
-1.0240000100E-07,0.0080000060
-1.0200000100E-07,0.0000000060
-1.0160000100E-07,0.0000000060
-1.0120000100E-07,0.0080000060
-1.0080000100E-07,0.0080000060
-1.0040000100E-07,0.0000000060
-1.0000000100E-07,0.0080000060
-9.9600001300E-08,0.0080000060
-9.9200001300E-08,0.0080000060
-9.8800001300E-08,0.0160000100
-9.8400001300E-08,0.0000000060
-9.8000001300E-08,0.0080000060
-9.7600001300E-08,0.0080000060
-9.7200001300E-08,0.0080000060
