Time,Voltage
-1.8784000300E-07,0.0062498320
-1.8776000300E-07,-0.0484376700
-1.8768000300E-07,-0.1000002000
-1.8760000300E-07,-0.1375002000
-1.8752000300E-07,-0.1570314000
-1.8744000300E-07,-0.1562502000
-1.8736000300E-07,-0.1359377000
-1.8728000300E-07,-0.1000002000
-1.8720000200E-07,-0.0515626700
-1.8712000200E-07,-0.0023439180
-1.8704000200E-07,0.0421873300
-1.8696000200E-07,0.0773435800
-1.8688000200E-07,0.0999998300
-1.8680000200E-07,0.1093748000
-1.8672000200E-07,0.1101561000
-1.8664000200E-07,0.1054686000
-1.8656000200E-07,0.1015623000
-1.8648000200E-07,0.0999998300
-1.8640000200E-07,0.1046873000
-1.8632000200E-07,0.1117186000
-1.8624000200E-07,0.1171873000
-1.8616000200E-07,0.1148436000
-1.8608000200E-07,0.0999998300
-1.8600000200E-07,0.0703123300
-1.8592000200E-07,0.0289060800
-1.8584000200E-07,-0.0179689200
-1.8576000200E-07,-0.0632814200
-1.8568000200E-07,-0.1000002000
-1.8560000200E-07,-0.1210939000
-1.8552000200E-07,-0.1281252000
-1.8544000200E-07,-0.1234377000
-1.8536000200E-07,-0.1132814000
-1.8528000200E-07,-0.1000002000
-1.8520000200E-07,-0.0828126700
-1.8512000200E-07,-0.0593751700
-1.8504000200E-07,-0.0234376700
-1.8496000200E-07,0.0296873300
-1.8488000200E-07,0.0999998300
-1.8480000200E-07,0.1804686000
-1.8472000200E-07,0.2562498000
-1.8464000200E-07,0.3109373000
-1.8456000200E-07,0.3281248000
-1.8448000200E-07,0.2999998000
-1.8440000200E-07,0.2273436000
-1.8432000200E-07,0.1281248000
-1.8424000200E-07,0.0249998300
-1.8416000200E-07,-0.0570314200
-1.8408000200E-07,-0.1000002000
-1.8400000200E-07,-0.0921876700
-1.8392000200E-07,-0.0468751700
-1.8384000200E-07,0.0164060800
-1.8376000200E-07,0.0718748300
-1.8368000200E-07,0.0999998300
-1.8360000200E-07,0.0898435800
-1.8352000200E-07,0.0468748300
-1.8344000200E-07,-0.0132814200
-1.8336000200E-07,-0.0679689200
